"property_id","med_H_NRO_CUARTOS","sum_HA_TOT_PER","med_V_TOT_HOG","med_VA1_ESTRATO","lat","lon"
"7818bfdb2515268f36f561cf",NA,NA,NA,NA,"4.717097","-74.03588"
"b431f95918341a3680fd120c",NA,NA,NA,NA,"4.702000","-74.04500"
"528d66663acd45b08c6d7931",NA,NA,NA,NA,"4.706000","-74.08300"
"af7aede36ea1df2529081419",NA,NA,NA,NA,"4.711348","-74.04730"
"ba8e68faaf298e1ede1e442d",NA,NA,NA,NA,"4.719000","-74.07800"
"f4e212abe62747bfa3de35ef"," 5.0","  33"," 1.0","6.0","4.634048","-74.17177"
"2ca934e229718147e9ab6a3f",NA,NA,NA,NA,"4.718520","-74.07780"
"5e1b61c197a444990f7c28bf",NA,NA,NA,NA,"4.722482","-74.06090"
"7a1b6e9e31ff08ac7536796c"," 4.0","  71"," 1.0","6.0","4.709298","-74.07873"
"3663c9471f8a74430e88c1e1"," 4.0","2555"," 1.0","4.0","4.698753","-74.03222"
"ea26e05193942a6f84f67119"," 7.0"," 165"," 1.0","6.0","4.741000","-74.05500"
"e2e947bb30ec6c0c5032d62a"," 4.0","  89"," 1.0","4.0","4.695735","-74.12243"
"77753f92a23b9e4c674e8a5c"," 5.0"," 116"," 1.0","5.0","4.714000","-74.03100"
"62114e47c50d55b7a6fe8db8"," 5.0"," 116"," 1.0","5.0","4.722186","-74.02686"
"c7e1556610142166239ad229",NA,NA,NA,NA,"4.703000","-74.04800"
"b2d57313159dfe4922321051"," 4.0","  75"," 1.0","3.0","4.700000","-74.02800"
"50d3e7164f1cb7cf14ad42a6"," 6.0"," 530"," 1.0","6.0","4.690000","-74.03100"
"d940a0ebc88a1d011c08a177",NA,NA,NA,NA,"4.705000","-74.11600"
"738174a44a37ce206c11b673"," 5.0"," 221"," 1.0","6.0","4.615947","-74.10469"
"5d11d1d9a7d691ef06cf2d02"," 5.0"," 142"," 1.0","6.0","4.635000","-74.13000"
"3d75132a17b8f2a6e106d79b"," 6.5","  61"," 1.0","3.0","4.681000","-74.06200"
"55f571e10bb645ad05ef63ef"," 6.5","  61"," 1.0","3.0","4.725376","-74.04684"
"d51be5dd9532f7371f80d40f"," 4.0"," 327"," 1.0","5.0","4.714000","-74.03300"
"bfdb81e0983e2fbe4ea2309b"," 7.0","  83"," 1.0","6.0","4.725000","-74.03700"
"1cb4f75b133d6b5791bbefb9",NA,NA,NA,NA,"4.665000","-74.05300"
"d1b4c48f7a56cabc7a5bb296"," 4.0"," 248"," 1.0","5.0","4.712000","-74.08100"
"e7b9a0495e2dfcb85886ed10",NA,NA,NA,NA,"4.680000","-74.04600"
"e73d037bdfc51c63c239fdfd",NA,NA,NA,NA,"4.699896","-74.04302"
"f2239cb2a47682b1be66d980"," 5.0"," 118"," 1.0","3.0","4.710205","-74.03541"
"f814be8e2b5c379c78ffae10"," 5.0","  21"," 1.0","6.0","4.699792","-74.08743"
"982c2a466d11bcc8346114a2"," 6.0","  77"," 1.0","6.0","4.731603","-74.02701"
"474b51ac08abf21f3ff475c9",NA,NA,NA,NA,"4.696024","-74.03395"
"87c5d47cc17d257c73b5afcf"," 4.0"," 167"," 1.0","5.0","4.707142","-74.02884"
"3e35c4ac2db4a997bbaed1b6"," 4.0"," 389"," 1.0","4.0","4.761000","-74.06000"
"7e1d248cacce9e6cd3079928",NA,NA,NA,NA,"4.676825","-74.14570"
"1fdc1048b9dbed3b7b08a1bf"," 5.0"," 278"," 1.0","6.0","4.634141","-74.06611"
"2ae07e129bfb332ba0c3d528"," 5.0","  75"," 1.0","5.0","4.689000","-74.04200"
"37205f556a1bc9577de73859"," 5.0"," 311"," 1.0","6.0","4.621541","-74.07498"
"11c43d80ec84e1cc26e99238",NA,NA,NA,NA,"4.717000","-74.03707"
"0b3e15c44f9fc072225cb74d"," 4.0"," 521"," 1.0","4.0","4.711116","-74.05038"
"845b79c93aaccc47677e3aca",NA,NA,NA,NA,"4.705305","-74.03099"
"0ed31e84c452fbf69c67337f",NA,NA,NA,NA,"4.731432","-74.03752"
"a12a424754868ba963183627",NA,NA,NA,NA,"4.632000","-74.06900"
"78de96b96e968e65bbe60975",NA,NA,NA,NA,"4.750804","-74.08332"
"38bb2c0629c4cf4f464b932a"," 4.0"," 147"," 1.0","6.0","4.729000","-74.07500"
"181f1fb6e5ee9ad3cf04dc2c"," 4.0"," 255"," 1.0","3.0","4.726552","-74.05621"
"2f22b6c98ebe5a5c98621a62"," 4.0"," 992"," 1.0","5.0","4.612000","-74.17500"
"462ee31769b1586af046b415",NA,NA,NA,NA,"4.702929","-74.03026"
"503cb88148fc7e3321dc4de3",NA,NA,NA,NA,"4.696000","-74.04800"
"06b476a86cb5f8a10b9f033f",NA,NA,NA,NA,"4.697494","-74.02804"
"e0f87404807ebaa6aac6638c"," 4.0"," 322"," 1.0","5.0","4.655000","-74.06200"
"33c07b3b85ef1f84b1edfb71"," 3.0","  38"," 1.0","3.0","4.666000","-74.04700"
"42acf7ed478c1529e3a77825",NA,NA,NA,NA,"4.701000","-74.02800"
"06908f422c25552f1940c18c"," 6.0"," 303"," 1.0","6.0","4.721000","-74.06900"
"6c7ea98c6ff96e0b6fdc44c8"," 4.0","1144"," 1.0","3.0","4.709000","-74.03500"
"8dfc0c6c4edbb9b6537d2519"," 2.5","  38"," 1.0","2.0","4.619208","-74.06653"
"22e85eb7096f34deb0356022"," 4.0","  86"," 1.0","5.0","4.719000","-74.03500"
"eda413381b20a758d438b912"," 4.0"," 150"," 1.0","6.0","4.632000","-74.06900"
"535718bd4066cd755b84c831"," 4.5","  88"," 1.0","5.0","4.679040","-74.05008"
"51924f045b8823fd497995a0"," 4.0"," 167"," 1.0","4.0","4.737000","-74.05100"
"171325ca416f09be55a2792a",NA,NA,NA,NA,"4.723130","-74.04609"
"031f7d217c047d52b1fc09d5",NA,NA,NA,NA,"4.721000","-74.06800"
"e7d92eda72a423e24d8940b1"," 4.0"," 403"," 1.0","5.0","4.757000","-74.05800"
"d1617b91a63c9f279357a238"," 4.0"," 269"," 1.0","5.0","4.625528","-74.08508"
"7efac86833c71d779b803e30",NA,NA,NA,NA,"4.715701","-74.02851"
"6e6af46fc38d57a87aafeea3"," 4.0","  76"," 1.0","4.0","4.768000","-74.03300"
"f5fb67b3d76fe4e83ba7cce4",NA,NA,NA,NA,"4.727000","-74.04400"
"5813d126f7beedf4ee1a8c35",NA,NA,NA,NA,"4.699405","-74.06012"
"2b6dcb451b52ce22e5f449e2",NA,NA,NA,NA,"4.719000","-74.07600"
"96309e7ee0784e225bea5c52",NA,NA,NA,NA,"4.700337","-74.02822"
"f37978636bbffa029a36c211"," 4.0"," 820"," 1.0","4.0","4.723000","-74.11200"
"b4169f654784f2b53e852295",NA,NA,NA,NA,"4.592000","-74.13800"
